"ID",Title,Authors,Status in the selection phase,Status in the full-reading phase,Year,Journal/Conference,Inclusion or Exclusion Criteria (Selection Phase),Inclusion or Exclusion Criteria (Full-reading Phase),Method,Quality criteria,Collaborative activity,Object under evaluation,Type of approach
1,A crowdsourcing-based framework for improving geo-spatial open data,"Karam, R. and Melchiori, M.",ACCEPTED,ACCEPTED,2013,"IEEE International Conference on Systems, Man, and Cybernetics (2013)",(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Expert assessment,Accuracy and completeness,Collaborative Mapping,Information and volunteer,Crowdsourcing 
2,A linguistic decision making approach to assess the quality of volunteer geographic information for citizen science,"Bordogna, Gloria and Carrara, Paola and Criscuolo, Laura and Pepe,Monica and Rampini, Anna",ACCEPTED,ACCEPTED,2014,Information Sciences,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Ranking/filtering by linguistic terms,Pragmatic quality,Crowd sensing,Information,Social
3,A new Spatial OLAP approach for the analysis of Volunteered Geographic Information,"Bimonte, Sandro and Boucelma, Omar and Machabert, Olivier and Sellami,Sana",ACCEPTED,REJECTED,2014,Computers Environment and Urban Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
4,A systematic approach to evaluate and validate the spatial accuracy of farmers market locations using multi-geocoding services,"Cui, Y.",ACCEPTED,ACCEPTED,2013,Applied Geography,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Automatic location checking,Positional accuracy,Crowd sensing,Information,Geographic
5,A systematic study of OpenStreetMap data quality assessment,"Sehra, S.S.a  and Singh, J.b  and Rai, H.S.c ",ACCEPTED,REJECTED,2014,International Conference on Information Technology: New Generations,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E10) the primary study is a literature review;,N/A,N/A,N/A,N/A,N/A
6,An assessment of a collaborative mapping approach for exploring land use patterns for several European metropolises ,Jamal Jokar Arsanjani and Eric Vaz,ACCEPTED,REJECTED,2015,International Journal of Applied Earth Observation and Geoinformation ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,(E12) the primary study proposes a method for quality assessment of voluntereed geographic information using authoritative data.,Comparison with authoritative data,Thematic accuracy and completeness,Collaborative Mapping,Information,Geographic
7,Analyzing the Spatial-Semantic Interaction of Points of Interest in Volunteered Geographic Information,"Muelliganni, Christoph and Janowicz, Krzysztof and Ye, Mao and Lee,Wang-Chien",ACCEPTED,REJECTED,2011,Spatial Information Theory,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
8,Artificial intelligence-based solution to estimate the spatial accuracy of volunteered geographic data,"Mohammadi, N. and Malek, M.",ACCEPTED,ACCEPTED,2014,Journal of Spatial Science,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Extraction/learning of characteristics,Positional accuracy,Collaborative Mapping,Information,Geographic
9,Assessing the accuracy of volunteered geographic information arising from multiple contributors to an internet based collaborative project,"Foody, G.M.a  and See, L.b  and Fritz, S.b  and Van der Velde, M.b  and Perger, C.c  and Schill, C.d  and Boyd, D.S.a ",ACCEPTED,ACCEPTED,2013,Transactions in GIS,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Expert assessment,Thematic accuracy ,Crowd sensing,Volunteer,Crowdsourcing 
10,Assuring the quality of volunteered geographic information ,Michael F. Goodchild and Linna Li,ACCEPTED,REJECTED,2012,Spatial Statistics ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
11,Automated Highway Tag Assessment of OpenStreetMap Road Networks,"Jilani, Musfira and Corcoran, Padraig and Bertolotto, Michela",ACCEPTED,ACCEPTED,2014,22nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Extraction/learning of characteristics,Semantic accuracy,Collaborative Mapping,Information,Geographic
12,Can we trust information? - The case of volunteered geographic information,"Bishr, M.a  and Janowicz, K.b ",ACCEPTED,ACCEPTED,2010,CEUR Workshop Proceedings,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Volunteer's profile; reputation,Trust,Crowd sensing,Information,Social
13,Citizens as sensors for natural hazards: A VGI integration workflow,"De Longueville, B. and Luraschi, G. and Smits, P. and Peedell, S. and De Groeve, T.",ACCEPTED,ACCEPTED,2010,Geomatica,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Spatiotemporal clustering,Reliability,Social Media,Information,Geographic
14,Comparing the Quality of Crowdsourced Data Contributed by Expert andNon-Experts,"See, Linda and Comber, Alexis and Salk, Carl and Fritz, Steffen and vander Velde, Marijn and Perger, Christoph and Schill, Christian andMcCallum, Ian and Kraxner, Florian and Obersteiner, Michael",ACCEPTED,ACCEPTED,2013,Plos One,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Redundancy of volunteersí contribution,Consistency and accuracy,Crowd sensing,Information,Crowdsourcing 
15,"Conducting disaster damage assessments with Spatial Video, experts, andcitizens","Lue, Evan and Wilson, John P. and Curtis, Andrew",ACCEPTED,REJECTED,2014,Applied Geography,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
16,Constructing gazetteers from volunteered Big Geo-Data based on Hadoop ,Song Gao and Linna Li and Wenwen Li and Krzysztof Janowicz and Yue Zhang,ACCEPTED,REJECTED,2014,"Computers, Environment and Urban Systems ",(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
17,Crowdsourcing geographic information for disaster response: A research frontier,"Goodchild, M.F. and Glennon, J.A.",ACCEPTED,REJECTED,2010,International Journal of Digital Earth,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
18,Data quality assurance for volunteered geographic information,"Ali, A.L. and Schmid, F",ACCEPTED,ACCEPTED,2014,Lecture Notes in Computer Science ,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,,Extraction/learning of characteristics,Consistency and plausibility,Collaborative Mapping,Information,Geographic
19,Flexible querying of volunteered geographic information for risk management,"Arcaini, P. and Bordogna, G. and Sterlacchini, S.",ACCEPTED,REJECTED,2013,8th Conference of the European Society for Fuzzy Logic and Technology,(I1) the primary study proposes a method for quality assessment of volunteered geographic information; ,"(E2) the primary study is related to volunteered geographic information, but it does not propose a quality assessment method;",N/A,N/A,N/A,N/A,N/A
